cell_type_l1,signature,genes
T,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
T,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
T,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
T,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
T,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
T,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
T,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
T,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
T,Cytotoxicity,NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;FGFBP2
T,T-cell exhaustion,PDCD1;HAVCR2;LAG3;TIGIT;TOX;CXCL13;ENTPD1;CTLA4
T,Progenitor exhausted / stem-like,TCF7;LEF1;SLAMF6;IL7R;CCR7;SELL;BCL6
T,T-cell activation / TCR,CD69;IL2RA;ICOS;TNFRSF9;CD40LG;FOS;JUN;NFKBIA
T,Treg suppressive,FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;ENTPD1;LRRC32;TNFRSF18
T,Tissue-resident memory,CD69;ITGAE;CXCR6;ZNF683;RUNX3;CD101;RGS1
T,T-cell reinvigoration,MKI67;TOP2A;TYMS;UBE2C;CCNA2;CDK1;GZMB;IFNG
T,CD8 effector / cytolytic,CD8A;CD8B;NKG7;PRF1;GZMB;GZMH;CTSW;CCL5
NK,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
NK,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
NK,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
NK,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
NK,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
NK,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
NK,Oxidative phosphorylation,NDUFA1;NDUFB3;SDHB;UQCRB;COX5A;COX6A1;ATP5F1A;ATP5MC1
NK,Apoptosis,BAX;BAK1;CASP3;CASP7;PMAIP1;BBC3;FAS;TNFRSF10B
NK,Cytotoxicity,NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;FGFBP2
B,IFN-alpha response,ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6
B,IFN-gamma response,STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;CXCL11;IDO1;HLA-DRA
B,TNF / NF-kB,NFKBIA;TNFAIP3;JUNB;FOS;IER3;CCL2;CXCL2;IL6
B,Cell cycle / proliferation,MKI67;TOP2A;PCNA;TYMS;MCM2;MCM4;UBE2C;CENPF
B,Hypoxia,HIF1A;CA9;VEGFA;SLC2A1;LDHA;PGK1;BNIP3;ENO1
B,Glycolysis,HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
