term,label
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial mesenchymal transition
HALLMARK_ANGIOGENESIS,Angiogenesis
HALLMARK_INFLAMMATORY_RESPONSE,Inflammation
HALLMARK_HYPOXIA,Hypoxia
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF/NF-κB
HALLMARK_IL6_JAK_STAT3_SIGNALING,IL-6/JAK-STAT3
HALLMARK_TGF_BETA_SIGNALING,TGF-β
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ECM: collagen fibril organization
GOBP_COLLAGEN_METABOLIC_PROCESS,ECM: collagen metabolism
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,ECM: extracellular structure
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,ECM: matrix organization
